Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_6656,Firefox 84.0,Zestaw testów dla strony http://automationpractice.com/. Jest to przykładowy sklep na woocommerce stworzony na potrzeby testów automatycznych.,,2020-12-30 17:38:44,2020-12-30 17:40:02,"1m - 17,655s",PASSED
,,,,,,,
Test Cases/TC_6656 - Rejestracja/TC_6656 - Rejestracja nowego konta,Firefox 84.0,Celem testu jest sprawdznie czy tworzenie konta w systemie działa i tworzy konto.,,2020-12-30 17:38:45,2020-12-30 17:39:12,"27,632s",PASSED
"openBrowser("""")",Firefox 84.0,,,2020-12-30 17:38:45,2020-12-30 17:38:50,"5,171s",PASSED
"navigateToUrl(""http://automationpractice.com/index.php?controller=authentication&back=my-account"")",Firefox 84.0,,,2020-12-30 17:38:50,2020-12-30 17:38:55,"5,158s",PASSED
"setText(findTestObject(""Page_Login - My Store/input_Email address_email_create""), email)",Firefox 84.0,,,2020-12-30 17:38:55,2020-12-30 17:38:56,"0,519s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Create an account""))",Firefox 84.0,,,2020-12-30 17:38:56,2020-12-30 17:38:56,"0,475s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/input_Mr._id_gender""))",Firefox 84.0,,,2020-12-30 17:38:56,2020-12-30 17:38:58,"1,921s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_firstname""), name)",Firefox 84.0,,,2020-12-30 17:38:58,2020-12-30 17:38:59,"0,730s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_lastname""), surname)",Firefox 84.0,,,2020-12-30 17:38:59,2020-12-30 17:38:59,"0,484s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - My Store/input__passwd""), password)",Firefox 84.0,,,2020-12-30 17:38:59,2020-12-30 17:39:00,"0,547s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-12345678910111213141516171819202122_51e29d""), dayBorn, true)",Firefox 84.0,,,2020-12-30 17:39:00,2020-12-30 17:39:02,"1,495s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-JanuaryFebruaryMarchAprilMayJuneJul_702766""), monthBorn, true)",Firefox 84.0,,,2020-12-30 17:39:02,2020-12-30 17:39:03,"1,164s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-20202019201820172016201520142013201_ed0939""), yearBorn, true)",Firefox 84.0,,,2020-12-30 17:39:03,2020-12-30 17:39:05,"1,846s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__address1""), street)",Firefox 84.0,,,2020-12-30 17:39:05,2020-12-30 17:39:05,"0,790s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__city""), city)",Firefox 84.0,,,2020-12-30 17:39:05,2020-12-30 17:39:06,"0,513s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-AlabamaAlaskaArizonaArkansasCalifor_c52141""), stateIndex, true)",Firefox 84.0,,,2020-12-30 17:39:06,2020-12-30 17:39:07,"1,444s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__postcode""), postCode)",Firefox 84.0,,,2020-12-30 17:39:07,2020-12-30 17:39:08,"0,474s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__phone_mobile""), phone)",Firefox 84.0,,,2020-12-30 17:39:08,2020-12-30 17:39:08,"0,693s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2020-12-30 17:39:08,2020-12-30 17:39:11,"2,617s",PASSED
closeBrowser(),Firefox 84.0,,,2020-12-30 17:39:11,2020-12-30 17:39:12,"1,255s",PASSED
,,,,,,,
Test Cases/TC_6656 - Rejestracja/TC_6656 - Weryfikacja działania walidacji w formularzu rejestracji,Firefox 84.0,Sprawdzenie czy formularz do rejestracji konta prawidłowo waliduje brak wymaganych danych.,,2020-12-30 17:39:12,2020-12-30 17:40:02,"49,196s",PASSED
"openBrowser("""")",Firefox 84.0,,,2020-12-30 17:39:13,2020-12-30 17:39:18,"5,092s",PASSED
"navigateToUrl(""http://automationpractice.com/index.php?controller=authentication&back=my-account"")",Firefox 84.0,,,2020-12-30 17:39:18,2020-12-30 17:39:25,"7,666s",PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_Login - My Store/span_Create an account""), 0)",Firefox 84.0,,,2020-12-30 17:39:25,2020-12-30 17:39:26,"0,317s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Create an account""))",Firefox 84.0,,,2020-12-30 17:39:26,2020-12-30 17:39:26,"0,473s",PASSED
