Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementVisible(findTestObject(""Object Repository/Page_Login - My Store/div_Invalid email address""))",Firefox 84.0,,,2020-12-30 17:39:26,2020-12-30 17:39:27,"0,884s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_Invalid email address""), ""Invalid email address."")",Firefox 84.0,,,2020-12-30 17:39:27,2020-12-30 17:39:27,"0,277s",PASSED
"setText(findTestObject(""Page_Login - My Store/input_Email address_email_create""), email)",Firefox 84.0,,,2020-12-30 17:39:27,2020-12-30 17:39:28,"0,532s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Create an account""))",Firefox 84.0,,,2020-12-30 17:39:28,2020-12-30 17:39:28,"0,471s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Login - My Store/form_Your personal informationTitleMr.Mrs.F_0dfd37""))",Firefox 84.0,,,2020-12-30 17:39:28,2020-12-30 17:39:31,"2,436s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2020-12-30 17:39:31,2020-12-30 17:39:34,"3,391s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There are 8 errors""), ""There are 8 errors"")",Firefox 84.0,,,2020-12-30 17:39:34,2020-12-30 17:39:35,"0,458s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_You must register at least one phone number""), ""You must register at least one phone number."")",Firefox 84.0,,,2020-12-30 17:39:35,2020-12-30 17:39:35,"0,248s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__phone_mobile""), phone)",Firefox 84.0,,,2020-12-30 17:39:35,2020-12-30 17:39:35,"0,467s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2020-12-30 17:39:35,2020-12-30 17:39:38,"2,551s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There are 7 errors""), ""There are 7 errors"")",Firefox 84.0,,,2020-12-30 17:39:38,2020-12-30 17:39:38,"0,447s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_lastname is required""), ""lastname is required."")",Firefox 84.0,,,2020-12-30 17:39:38,2020-12-30 17:39:39,"0,265s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_lastname""), surname)",Firefox 84.0,,,2020-12-30 17:39:39,2020-12-30 17:39:39,"0,485s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2020-12-30 17:39:39,2020-12-30 17:39:42,"2,737s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There are 6 errors""), ""There are 6 errors"")",Firefox 84.0,,,2020-12-30 17:39:42,2020-12-30 17:39:42,"0,449s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_firstname is required""), ""firstname is required."")",Firefox 84.0,,,2020-12-30 17:39:42,2020-12-30 17:39:43,"0,263s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_firstname""), name)",Firefox 84.0,,,2020-12-30 17:39:43,2020-12-30 17:39:43,"0,493s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2020-12-30 17:39:43,2020-12-30 17:39:46,"2,488s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There are 5 errors""), ""There are 5 errors"")",Firefox 84.0,,,2020-12-30 17:39:46,2020-12-30 17:39:46,"0,447s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_address1 is required""), ""address1 is required."")",Firefox 84.0,,,2020-12-30 17:39:46,2020-12-30 17:39:46,"0,244s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__address1""), street)",Firefox 84.0,,,2020-12-30 17:39:46,2020-12-30 17:39:47,"0,529s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2020-12-30 17:39:47,2020-12-30 17:39:48,"1,620s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There are 4 errors""), ""There are 4 errors"")",Firefox 84.0,,,2020-12-30 17:39:48,2020-12-30 17:39:49,"0,462s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_city is required""), ""city is required."")",Firefox 84.0,,,2020-12-30 17:39:49,2020-12-30 17:39:49,"0,271s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__city""), city)",Firefox 84.0,,,2020-12-30 17:39:49,2020-12-30 17:39:50,"0,514s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2020-12-30 17:39:50,2020-12-30 17:39:52,"1,862s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There are 3 errors""), ""There are 3 errors"")",Firefox 84.0,,,2020-12-30 17:39:52,2020-12-30 17:39:52,"0,450s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_The ZipPostal code youve entered is inva_8cea72""), ""The Zip/Postal code you've entered is invalid. It must follow this format: 00000"")",Firefox 84.0,,,2020-12-30 17:39:52,2020-12-30 17:39:52,"0,250s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__postcode""), postCode)",Firefox 84.0,,,2020-12-30 17:39:52,2020-12-30 17:39:53,"0,501s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2020-12-30 17:39:53,2020-12-30 17:39:55,"1,853s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There are 2 errors""), ""There are 2 errors"")",Firefox 84.0,,,2020-12-30 17:39:55,2020-12-30 17:39:55,"0,450s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_This country requires you to choose a State""), ""This country requires you to choose a State."")",Firefox 84.0,,,2020-12-30 17:39:55,2020-12-30 17:39:55,"0,283s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-AlabamaAlaskaArizonaArkansasCalifor_c52141""), stateIndex, true)",Firefox 84.0,,,2020-12-30 17:39:55,2020-12-30 17:39:57,"1,508s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2020-12-30 17:39:57,2020-12-30 17:39:59,"1,709s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There is 1 error""), ""There is 1 error"")",Firefox 84.0,,,2020-12-30 17:39:59,2020-12-30 17:39:59,"0,451s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_passwd is required""), ""passwd is required."")",Firefox 84.0,,,2020-12-30 17:39:59,2020-12-30 17:39:59,"0,267s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - My Store/input__passwd""), password)",Firefox 84.0,,,2020-12-30 17:39:59,2020-12-30 17:40:00,"0,276s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2020-12-30 17:40:00,2020-12-30 17:40:01,"1,628s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_My account - My Store/a_Sign out""))",Firefox 84.0,,,2020-12-30 17:40:01,2020-12-30 17:40:02,"0,504s",PASSED
