Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__phone_mobile""), phone)",Firefox 84.0,,,2021-01-10 14:08:25,2021-01-10 14:08:26,"0,556s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2021-01-10 14:08:26,2021-01-10 14:08:29,"3,101s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There are 7 errors""), ""There are 7 errors"")",Firefox 84.0,,,2021-01-10 14:08:29,2021-01-10 14:08:29,"0,465s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_lastname is required""), ""lastname is required."")",Firefox 84.0,,,2021-01-10 14:08:29,2021-01-10 14:08:30,"0,296s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_lastname""), surname)",Firefox 84.0,,,2021-01-10 14:08:30,2021-01-10 14:08:31,"1,097s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2021-01-10 14:08:31,2021-01-10 14:08:34,"3,627s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There are 6 errors""), ""There are 6 errors"")",Firefox 84.0,,,2021-01-10 14:08:34,2021-01-10 14:08:35,"0,471s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_firstname is required""), ""firstname is required."")",Firefox 84.0,,,2021-01-10 14:08:35,2021-01-10 14:08:35,"0,287s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_firstname""), name)",Firefox 84.0,,,2021-01-10 14:08:35,2021-01-10 14:08:36,"0,551s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2021-01-10 14:08:36,2021-01-10 14:08:39,"2,768s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There are 5 errors""), ""There are 5 errors"")",Firefox 84.0,,,2021-01-10 14:08:39,2021-01-10 14:08:39,"0,456s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_address1 is required""), ""address1 is required."")",Firefox 84.0,,,2021-01-10 14:08:39,2021-01-10 14:08:39,"0,322s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__address1""), street)",Firefox 84.0,,,2021-01-10 14:08:39,2021-01-10 14:08:40,"0,588s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2021-01-10 14:08:40,2021-01-10 14:08:43,"3,011s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There are 4 errors""), ""There are 4 errors"")",Firefox 84.0,,,2021-01-10 14:08:43,2021-01-10 14:08:43,"0,467s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_city is required""), ""city is required."")",Firefox 84.0,,,2021-01-10 14:08:43,2021-01-10 14:08:44,"0,287s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__city""), city)",Firefox 84.0,,,2021-01-10 14:08:44,2021-01-10 14:08:44,"0,558s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2021-01-10 14:08:44,2021-01-10 14:08:46,"2,006s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There are 3 errors""), ""There are 3 errors"")",Firefox 84.0,,,2021-01-10 14:08:46,2021-01-10 14:08:47,"0,461s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_The ZipPostal code youve entered is inva_8cea72""), ""The Zip/Postal code you've entered is invalid. It must follow this format: 00000"")",Firefox 84.0,,,2021-01-10 14:08:47,2021-01-10 14:08:47,"0,289s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__postcode""), postCode)",Firefox 84.0,,,2021-01-10 14:08:47,2021-01-10 14:08:47,"0,521s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2021-01-10 14:08:47,2021-01-10 14:08:49,"1,870s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There are 2 errors""), ""There are 2 errors"")",Firefox 84.0,,,2021-01-10 14:08:49,2021-01-10 14:08:50,"0,468s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_This country requires you to choose a State""), ""This country requires you to choose a State."")",Firefox 84.0,,,2021-01-10 14:08:50,2021-01-10 14:08:50,"0,287s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-AlabamaAlaskaArizonaArkansasCalifor_c52141""), stateIndex, true)",Firefox 84.0,,,2021-01-10 14:08:50,2021-01-10 14:08:52,"1,485s",PASSED
